"","X1_mean","X2_mean","M","D","prob","ranking"
"g1189",93595.1550561629,21056.3514970328,2.15217837325195,72538.8035591301,0.881981843360517,72538.803591057
"g155",136975.602311021,587395.712215758,-2.10041378703306,450420.109904737,0.881354823819049,-450420.109909635
"g1196",55306.6200553052,12090.9396067117,2.1935258144176,43215.6804485935,0.880427758116633,43215.6805042626
"g586",146635.188911447,626047.897711476,-2.09404168212171,479412.708800029,0.880393137405755,-479412.708804602
"g403",80747.9719647134,344651.262958173,-2.09363937081763,263903.290993459,0.880073857516541,-263903.291001764
"g6293",14962.3440823356,2113.25329739264,2.82379860727215,12849.090784943,0.879700723188183,12849.091095231
"g341",54436.4042964812,230926.928102191,-2.08479273344786,176490.52380571,0.878931374057547,-176490.523818023
"g1299",29557.6257906298,5898.3247589448,2.32515322619743,23659.301031685,0.878562086474842,23659.301145939
"g1270",33991.1259011144,7016.00094734357,2.27643730191596,26975.1249537708,0.87854669949223,26975.1250498254
"g1077",28716.1616537934,5752.22329640901,2.31967133802235,22963.9383573844,0.876911832589629,22963.9384745436
"g1005",11296.5122789194,1289.86719781595,3.13058297776802,10006.6450811035,0.8768156639483,10006.6455708055
"g4925",97917.4822282955,23108.0334637853,2.08317197317889,74809.4487645101,0.876127096476381,74809.4487935145
"g23",12529.9568621865,54679.5159358938,-2.1256190233865,42149.5590737073,0.875376981074011,-42149.5591273052
"g545",12411.1168246379,54227.6449839081,-2.1273955744573,41816.5281592702,0.875257731958763,-41816.5282133853
"g591",21296.3264061991,88983.0957574215,-2.06292670278024,67686.7693512224,0.873842129558394,-67686.7693826589
"g1032",425417.624414801,105746.151419653,2.00827464512254,319671.472995149,0.873018925988614,319671.473001457
"g1001",72983.1172532682,17515.4781942904,2.05893239655408,55467.6390589778,0.872114940760117,55467.639097191
"g820",10189.5748323977,1118.71977027403,3.18717325131095,9070.85506212364,0.871561009386059,9070.85562205283
"g1016",67268.2531895373,16129.601463951,2.0602150026972,51138.6517255863,0.871430220033851,51138.6517670861
"g625",17895.9679124682,73931.5143706096,-2.04655489022051,56035.5464581414,0.871399446068626,-56035.546495514
"g5929",55680.3911411437,13175.2211751023,2.07934216492323,42505.1699660414,0.871080166179412,42505.1700169019
"g1254",19814.6594864392,3706.80282090798,2.41832089508844,16107.8566655312,0.871018618248961,16107.8568470661
"g934",250292.453275863,63623.0126068345,1.97599420056807,186669.440669028,0.869622249576858,186669.440679487
"g4127",22480.8932320873,4504.09937360328,2.31938879626661,17976.793858484,0.868845206954916,17976.7940081093
"g418",64219.6228714544,252123.119570508,-1.97304232071232,187903.496699053,0.868599015233113,-187903.496709412
"g496",29220.2734259756,116220.582701593,-1.99182400991226,87000.3092756177,0.868591321741806,-87000.3092984186
"g203",23328.1076933213,93471.5414028959,-2.00245790009861,70143.4337095747,0.868460532389598,-70143.4337381578
"g12789",6195.97453832307,28546.1386157424,-2.20389248739575,22350.1640774193,0.867806585628558,-22350.1641860794
"g945",9723.7985561989,1091.58664151739,3.15509336137675,8632.21191468152,0.866760270810894,8632.21249127845
"g391",49736.4724889117,191544.235293794,-1.9453015125849,141807.762804882,0.866033235882443,-141807.762818225
"g2003",36293.1724349198,8486.40780957875,2.09647225692926,27806.7646253411,0.865444683797507,27806.7647043721
"g204",18226.6115653253,72498.6764558836,-1.99190827658189,54272.0648905583,0.865313894445299,-54272.0649271121
"g432",51882.3018765846,198546.669676759,-1.9361637674389,146664.367800175,0.865156177873519,-146664.367812954
"g1297",41501.0495642698,9951.59676243765,2.06014788884583,31549.4528018321,0.864629173719034,31549.4528690949
"g103",23171.8905471888,90443.0668009041,-1.96463415719346,67271.1762537153,0.86422526542545,-67271.1762824036
"g805",19041.2408549734,3727.6744584131,2.35277971880857,15313.5663965603,0.864179104477612,15313.5665773011
"g72",22956.2533822819,89466.2741656648,-1.96245673289634,66510.0207833829,0.864148330512386,-66510.0208123352
"g602",22461.7254840956,87218.3988063642,-1.95716374685336,64756.6733222686,0.863952146484074,-64756.6733518447
"g272",7280.86907465435,31627.8358933723,-2.11901227223973,24346.9668187179,0.863940606247115,-24346.9669109309
"g161",57548.2881829367,217975.033448393,-1.92131798015763,160426.745265456,0.863186644099092,-160426.745276962
"g2501",54599.3301544108,205557.452714726,-1.91258652253947,150958.122560316,0.862117248807509,-150958.122572432
"g548",20804.6736702115,79555.3770963622,-1.93505178537409,58750.7034261507,0.861059393752885,-58750.7034580177
"g581",53938.0428486965,197896.518168475,-1.87537115034484,143958.475319778,0.85872826588706,-143958.475331994
"g437",5851.91346187172,25577.1481806401,-2.1278750743673,19725.2347187684,0.858493614402216,-19725.2348335415
"g90",2391.17656196691,13702.2300221064,-2.51861814306308,11311.0534601395,0.858339744576089,-11311.0537405482
"g56",73832.2484893013,270519.380867514,-1.87340895683609,196687.132378213,0.858047391906447,-196687.132387135
"g11906",2793.699269793,15074.5401880675,-2.43186536287157,12280.8409182745,0.857958916756424,-12280.8411590548
"g497",2255.08555122571,13204.4414676094,-2.54976920730492,10949.3559163837,0.857862748115095,-10949.3562132653
"g116",7026.89641376408,29497.8852859755,-2.06965199435664,22470.9888722114,0.857497307278043,-22470.9889675223
"g7945",28503.3996510853,6758.23622415544,2.07641531857113,21745.1634269299,0.857304969995384,21745.1635260669
"g1298",384844.293853331,106117.666567244,1.85860999894536,278726.627286087,0.857020310817049,278726.627292284
"g992",65804.7956303695,17649.0566743232,1.89860165166637,48155.7389560464,0.854946914909986,48155.7389934738
"g59",147221.721999994,523353.179695071,-1.82979431233114,376131.457695077,0.853835205416218,-376131.457699528
"g470",42001.3277868536,150477.201338735,-1.84103808054898,108475.873551881,0.853504385290045,-108475.873567504
"g673",21833.0233499672,4952.8395799632,2.14018412415641,16880.183770004,0.85346207108786,16880.1839056775
"g650",3270.9761947868,16269.4414352352,-2.31437155599373,12998.4652404484,0.853200492383444,-12998.4654464849
"g6032",13425.0906933998,2464.94038935379,2.44530717152895,10960.150304046,0.852623480535467,10960.1505768309
"g847",14471.6497337476,2774.88420630471,2.38272991973469,11696.7655274429,0.852250346207109,11696.765770134
"g614",30622.3941915698,109315.201433027,-1.83583504842492,78692.807241457,0.85214263732882,-78692.8072628712
"g174",263922.638872774,928591.675584959,-1.81492923973243,664669.036712185,0.851650253885213,-664669.036714663
"g626",48575.8653480132,171037.851445021,-1.81600403349683,122461.986097008,0.851534851515618,-122461.986110473
"g573",6475.82365900217,26586.2918540123,-2.03754696435213,20110.4681950102,0.851442529619941,-20110.46829823
"g6519",81802.198104258,22651.9881842986,1.85250192789877,59150.2099199593,0.851296353285121,59150.2099489682
"g1102",81017.2788239971,22479.7971748814,1.84960061034544,58537.4816491156,0.851180950915525,58537.4816783364
"g62",16127.7431602321,59118.9132332312,-1.8740751803339,42991.1700729991,0.850523157408832,-42991.1701138465
"g864",29193.4385787872,7301.94238116362,1.99929196036793,21891.4961976236,0.850300046160948,21891.4962889186
"g210",91635.2528240097,319157.601327553,-1.80029438195899,227522.348503543,0.850030773965225,-227522.348510666
"g11555",9188.05999983037,1254.38541405726,2.87277958876378,7933.6745857731,0.849742268041237,7933.67510588911
"g309",34467.4444387086,120663.110744557,-1.80767844092201,86195.6663058479,0.849165256193261,-86195.6663248031
"g12351",33220.5824318473,8627.29136273826,1.94509778230472,24593.291069109,0.848553623634405,24593.2911460285
"g101",3468.4039991015,16430.1530440246,-2.24400206047415,12961.7490449231,0.848384366825666,-12961.7492391694
"g348",1607.21566910561,10268.8456525154,-2.67563857416971,8661.62998340975,0.848311278658255,-8661.63039667155
"g49",4767.01892554044,20568.9987612884,-2.10931231122139,15801.9798357479,0.848134328358209,-15801.9799765277
"g559",126174.576317687,432948.725423551,-1.77877493295515,306774.149105864,0.847915063855978,-306774.149111021
"g691",280498.907336013,81572.6208612313,1.78183824038035,198926.286474781,0.847603477458071,198926.286482761
"g114",10387.961024112,38749.2386101167,-1.89925545681218,28361.2775860047,0.846964917679643,-28361.2776495979
"g993",46377.324653363,12718.1323137403,1.86653277514863,33659.1923396227,0.846957224188337,33659.1923913759
"g681",812201.694364894,237516.104062555,1.77381270258377,574685.590302339,0.846845668564394,574685.590305077
"g83",10896.8647332921,40501.4125786709,-1.89405912640065,29604.5478453788,0.84679181412525,-29604.5479059684
"g414",6726.92115769368,26711.521679043,-1.98944391013035,19984.6005213493,0.846518695183874,-19984.6006203727
"g112",3251.80844679508,15486.7550287935,-2.25172070430464,12234.9465819984,0.845899369133713,-12234.9467892019
"g329",127705.120994826,432764.011431631,-1.76076415143105,305058.890436805,0.845364671487921,-305058.890441886
"g9485",19798.3669006463,4648.11367238856,2.09066417599583,15150.2532282577,0.84447991998769,15150.2533725086
"g299",3931.30511310151,17411.1200067649,-2.14692876791682,13479.8148936634,0.843879827665795,-13479.8150646339
"g8094",7279.91068725477,28033.7399149919,-1.94517156763844,20753.8292277371,0.843637482689645,-20753.8293188936
"g1243",9444.9078229194,1472.49402598569,2.68127493582613,7972.41379693371,0.842079550700108,7972.41424781567
"g532",4611.76016680752,19424.189444133,-2.07446500424665,14812.4292773254,0.841983382058778,-14812.4294225888
"g860",188257.953675465,56379.5108106852,1.73946795312859,131878.442864779,0.841929527619634,131878.442876251
"g1167",161951.17794423,48571.4312200226,1.73737905857003,113379.746724208,0.841567933528235,113379.746737519
"g639",62710.1627171065,207731.233760884,-1.72794698307339,145021.071043777,0.840771657178027,-145021.071054072
"g1012",99086.7148557903,29377.8733703211,1.75396167500951,69708.8414854692,0.840671641791045,69708.8415075351
"g997",41053.4826486631,11535.7540490757,1.83139230320753,29517.7285995874,0.84006000923219,29517.7286564007
"g715",12910.4366598221,2603.73677876279,2.30988228295103,10306.6998810594,0.840044622249577,10306.7001398986
"g452",43502.1624546052,144756.285498583,-1.73446697022345,101254.123043978,0.839902292660409,-101254.123058834
