"","X1_mean","X2_mean","M","D","prob","ranking"
"g165",19774.7895066878,103541.372132341,-2.38847309897796,83766.5826256536,0.90405,-83766.5826597054
"g532",3774.00258658715,24154.461128021,-2.6781223506109,20380.4585414339,0.903661538461539,-20380.458717395
"g598",13469.5992847701,71408.338086896,-2.40638561040741,57938.7388021259,0.90365,-57938.7388520984
"g143",90335.5172488161,459796.473821708,-2.34763017277271,369460.956572892,0.903207692307692,-369460.956580351
"g6179",6158.49432224591,35040.7609796273,-2.50838452869674,28882.2666573814,0.902230769230769,-28882.2667663062
"g675",16908.2969578218,87503.578855929,-2.37161066817677,70595.2818981073,0.901942307692308,-70595.2819379438
"g1000",29618.9044138553,5054.27459114051,2.55094232618118,24564.6298227147,0.901307692307692,24564.6299551675
"g624",6227.74207612824,35097.1037127744,-2.49457088009216,28869.3616366462,0.901115384615385,-28869.3617444228
"g69",59334.3912212832,296923.994166482,-2.32315321807446,237589.602945198,0.900980769230769,-237589.602956556
"g883",24106.418742959,3913.05805504256,2.62304891996618,20193.3606879165,0.900469230769231,20193.360858279
"g148",46819.6820163642,228589.096934788,-2.28756955135265,181769.414918424,0.898723076923077,-181769.414932819
"g1375",20461.8001175731,3192.75487833794,2.68005937080092,17269.0452392351,0.898646153846154,17269.0454472002
"g89",8787.17550580552,45920.4322743927,-2.38566480874994,37133.2567685872,0.898511538461538,-37133.2568452219
"g129",64086.9739087865,309838.632411385,-2.27341398394693,245751.658502598,0.897384615384615,-245751.658513114
"g848",51504.8392592979,10103.0253849137,2.34992061294308,41401.8138743842,0.897134615384615,41401.8139410736
"g1326",126850.040101902,26336.3610881309,2.26799604911031,100513.679013771,0.896319230769231,100513.679039358
"g273",25495.0184392311,122913.329499696,-2.26935409267321,97418.3110604653,0.896257692307692,-97418.3110868976
"g1004",373582.520648623,78316.3990745248,2.25404061753178,295266.121574098,0.896019230769231,295266.121582702
"g11193",17909.6559251465,2730.96541842609,2.71325467014959,15178.6905067205,0.895496153846154,15178.6907492233
"g936",38077.1530887197,7298.04108176486,2.38334443961604,30779.1120069548,0.895134615384615,30779.1120992306
"g3504",11043.1944349194,1169.94028240826,3.23865076005977,9873.25415251116,0.894553846153846,9873.25468368651
