"GeneNames"	"value1"	"value2"	"log2(Fold_change)"	"log2(Fold_change) normalized"	"p-value"	"q-value(Benjamini et al. 1995)"	"q-value(Storey et al. 2003)"	"Signature(q-value(Benjamini et al. 1995) < 0.005)"
g10510	4	1	2	2	0.165037964249717	0.22224615634195	0.0730568378436891	FALSE
g10844	4	1	2	2	0.165037964249717	0.22224615634195	0.0730568378436891	FALSE
g11247	4	1	2	2	0.165037964249717	0.22224615634195	0.0730568378436891	FALSE
g11263	1	4	-2	-2	0.165037964249717	0.22224615634195	0.0730568378436891	FALSE
g11366	4	1	2	2	0.165037964249717	0.22224615634195	0.0730568378436891	FALSE
g11463	4	1	2	2	0.165037964249717	0.22224615634195	0.0730568378436891	FALSE
g11476	1	4	-2	-2	0.165037964249717	0.22224615634195	0.0730568378436891	FALSE
g11509	1	4	-2	-2	0.165037964249717	0.22224615634195	0.0730568378436891	FALSE
g11568	4	1	2	2	0.165037964249717	0.22224615634195	0.0730568378436891	FALSE
g11674	1	4	-2	-2	0.165037964249717	0.22224615634195	0.0730568378436891	FALSE
g11813	4	1	2	2	0.165037964249717	0.22224615634195	0.0730568378436891	FALSE
g11899	1	4	-2	-2	0.165037964249717	0.22224615634195	0.0730568378436891	FALSE
g11923	1	4	-2	-2	0.165037964249717	0.22224615634195	0.0730568378436891	FALSE
g11928	1	4	-2	-2	0.165037964249717	0.22224615634195	0.0730568378436891	FALSE
g12418	1	4	-2	-2	0.165037964249717	0.22224615634195	0.0730568378436891	FALSE
g12477	4	1	2	2	0.165037964249717	0.22224615634195	0.0730568378436891	FALSE
g12506	1	4	-2	-2	0.165037964249717	0.22224615634195	0.0730568378436891	FALSE
g12602	4	1	2	2	0.165037964249717	0.22224615634195	0.0730568378436891	FALSE
g12798	4	1	2	2	0.165037964249717	0.22224615634195	0.0730568378436891	FALSE
g12918	4	1	2	2	0.165037964249717	0.22224615634195	0.0730568378436891	FALSE
g11047	574	528	0.120512807317233	0.120512807317233	0.165779161213912	0.222415026167708	0.0733465478849043	FALSE
g759	26	37	-0.509013647487858	-0.509013647487858	0.164702140973561	0.222553572722415	0.0730568378436891	FALSE
g8519	37	26	0.509013647487858	0.509013647487858	0.164702140973561	0.222553572722415	0.0730568378436891	FALSE
g12417	37	26	0.509013647487858	0.509013647487858	0.164702140973561	0.222553572722415	0.0730568378436891	FALSE
g420	67	84	-0.326228232320989	-0.326228232320989	0.166080507037701	0.222796009754907	0.0734721861180909	FALSE
