V1 V2 V3 V4 V5 V6 V7 V8 V9
GeneNames value1 value2 log2(Fold_change) "log2(Fold_change) normalized" p-value "q-value(Benjamini et al. 1995)" "q-value(Storey et al. 2003)" "Signature(q-value(Benjamini et al. 1995) < 0.005)"
g239 489 489 0 0 1 1 1 FALSE
g240 9114 9114 0 0 1 1 1 FALSE
g241 119 119 0 0 1 1 1 FALSE
g242 4573 4573 0 0 1 1 1 FALSE
g243 1562 1562 0 0 1 1 1 FALSE
g244 1380 1380 0 0 1 1 1 FALSE
g245 262 262 0 0 1 1 1 FALSE
g246 1 1 0 0 1 1 1 FALSE
g247 13 13 0 0 1 1 1 FALSE
g248 73 73 0 0 1 1 1 FALSE
g249 322 322 0 0 1 1 1 FALSE
g250 17 17 0 0 1 1 1 FALSE
g251 1086 1086 0 0 1 1 1 FALSE
g252 608 608 0 0 1 1 1 FALSE
g253 242 242 0 0 1 1 1 FALSE
g255 2312 2312 0 0 1 1 1 FALSE
g256 116 116 0 0 1 1 1 FALSE
g257 2607 2607 0 0 1 1 1 FALSE
g258 67 67 0 0 1 1 1 FALSE
g259 9 9 0 0 1 1 1 FALSE
g260 40 40 0 0 1 1 1 FALSE
g261 1 1 0 0 1 1 1 FALSE
g262 23 23 0 0 1 1 1 FALSE
g263 621 621 0 0 1 1 1 FALSE
g264 1154 1154 0 0 1 1 1 FALSE
g265 441 441 0 0 1 1 1 FALSE
g266 173 173 0 0 1 1 1 FALSE
g267 759 759 0 0 1 1 1 FALSE
g268 67 67 0 0 1 1 1 FALSE
g269 15 15 0 0 1 1 1 FALSE
g270 4996 4996 0 0 1 1 1 FALSE
g271 62 62 0 0 1 1 1 FALSE
g272 111 111 0 0 1 1 1 FALSE
g273 378 378 0 0 1 1 1 FALSE
g274 790 790 0 0 1 1 1 FALSE
g275 5 5 0 0 1 1 1 FALSE
g276 189 189 0 0 1 1 1 FALSE
g278 21 21 0 0 1 1 1 FALSE
g279 4 4 0 0 1 1 1 FALSE
g280 8 8 0 0 1 1 1 FALSE
g281 476 476 0 0 1 1 1 FALSE
g282 26 26 0 0 1 1 1 FALSE
g283 98 98 0 0 1 1 1 FALSE
g286 108 108 0 0 1 1 1 FALSE
g287 90 90 0 0 1 1 1 FALSE
g288 44 44 0 0 1 1 1 FALSE
g289 2 2 0 0 1 1 1 FALSE
g290 48 48 0 0 1 1 1 FALSE
g291 2 2 0 0 1 1 1 FALSE
g292 5 5 0 0 1 1 1 FALSE
g293 32 32 0 0 1 1 1 FALSE
g294 43 43 0 0 1 1 1 FALSE
g295 70 70 0 0 1 1 1 FALSE
g297 13 13 0 0 1 1 1 FALSE
g298 563 563 0 0 1 1 1 FALSE
g299 181 181 0 0 1 1 1 FALSE
g300 271 271 0 0 1 1 1 FALSE
g301 701 701 0 0 1 1 1 FALSE
g302 12 12 0 0 1 1 1 FALSE
g303 192 192 0 0 1 1 1 FALSE
g304 167 167 0 0 1 1 1 FALSE
g305 7887 7887 0 0 1 1 1 FALSE
g306 8 8 0 0 1 1 1 FALSE
g307 6 6 0 0 1 1 1 FALSE
g308 22 22 0 0 1 1 1 FALSE
g309 21 21 0 0 1 1 1 FALSE
g310 68 68 0 0 1 1 1 FALSE
g311 1603 1603 0 0 1 1 1 FALSE
g312 143 143 0 0 1 1 1 FALSE
g313 983 983 0 0 1 1 1 FALSE
g314 299 299 0 0 1 1 1 FALSE
g315 898 898 0 0 1 1 1 FALSE
g316 297 297 0 0 1 1 1 FALSE
g317 47 47 0 0 1 1 1 FALSE
g318 1 1 0 0 1 1 1 FALSE
g319 480 480 0 0 1 1 1 FALSE
g320 46 46 0 0 1 1 1 FALSE
g321 934 934 0 0 1 1 1 FALSE
g322 579 579 0 0 1 1 1 FALSE
g323 57 57 0 0 1 1 1 FALSE
g324 503 503 0 0 1 1 1 FALSE
g325 21 21 0 0 1 1 1 FALSE
g327 889 889 0 0 1 1 1 FALSE
g328 637 637 0 0 1 1 1 FALSE
g329 3 3 0 0 1 1 1 FALSE
g330 27 27 0 0 1 1 1 FALSE
g331 741 741 0 0 1 1 1 FALSE
g332 3 3 0 0 1 1 1 FALSE
g333 78 78 0 0 1 1 1 FALSE
g334 42 42 0 0 1 1 1 FALSE
g335 1512 1512 0 0 1 1 1 FALSE
g336 774 774 0 0 1 1 1 FALSE
g337 395 395 0 0 1 1 1 FALSE
g338 3 3 0 0 1 1 1 FALSE
g339 55 55 0 0 1 1 1 FALSE
g340 494 494 0 0 1 1 1 FALSE
g341 69 69 0 0 1 1 1 FALSE
g342 2679 2679 0 0 1 1 1 FALSE
g343 42 42 0 0 1 1 1 FALSE
g344 31 31 0 0 1 1 1 FALSE
g345 218 218 0 0 1 1 1 FALSE
g346 188 188 0 0 1 1 1 FALSE
g347 136 136 0 0 1 1 1 FALSE
g348 462 462 0 0 1 1 1 FALSE
g349 365 365 0 0 1 1 1 FALSE
g350 1203 1203 0 0 1 1 1 FALSE
g351 33 33 0 0 1 1 1 FALSE
g352 127 127 0 0 1 1 1 FALSE
g353 193 193 0 0 1 1 1 FALSE
g354 274 274 0 0 1 1 1 FALSE
g355 87 87 0 0 1 1 1 FALSE
g356 750 750 0 0 1 1 1 FALSE
g357 1 1 0 0 1 1 1 FALSE
g358 969 969 0 0 1 1 1 FALSE
g359 1457 1457 0 0 1 1 1 FALSE
g360 57 57 0 0 1 1 1 FALSE
g361 32 32 0 0 1 1 1 FALSE
g362 30 30 0 0 1 1 1 FALSE
g363 1616 1616 0 0 1 1 1 FALSE
g364 320 320 0 0 1 1 1 FALSE
g365 450 450 0 0 1 1 1 FALSE
g366 1142 1142 0 0 1 1 1 FALSE
g367 8 8 0 0 1 1 1 FALSE
g368 2587 2587 0 0 1 1 1 FALSE
g369 816 816 0 0 1 1 1 FALSE
g370 51 51 0 0 1 1 1 FALSE
g371 1312 1312 0 0 1 1 1 FALSE
g372 895 895 0 0 1 1 1 FALSE
g373 286 286 0 0 1 1 1 FALSE
g374 54 54 0 0 1 1 1 FALSE
g375 14 14 0 0 1 1 1 FALSE
g376 124 124 0 0 1 1 1 FALSE
g377 195 195 0 0 1 1 1 FALSE
g378 32 32 0 0 1 1 1 FALSE
g379 21 21 0 0 1 1 1 FALSE
g380 30 30 0 0 1 1 1 FALSE
g381 7 7 0 0 1 1 1 FALSE
g382 2194 2194 0 0 1 1 1 FALSE
g383 8 8 0 0 1 1 1 FALSE
g384 1274 1274 0 0 1 1 1 FALSE
g385 14 14 0 0 1 1 1 FALSE
g386 4634 4634 0 0 1 1 1 FALSE
g387 429 429 0 0 1 1 1 FALSE
g388 59 59 0 0 1 1 1 FALSE
g389 169 169 0 0 1 1 1 FALSE
g390 40 40 0 0 1 1 1 FALSE
g391 10 10 0 0 1 1 1 FALSE
g392 18 18 0 0 1 1 1 FALSE
g393 317 317 0 0 1 1 1 FALSE
g394 354 354 0 0 1 1 1 FALSE
g395 3 3 0 0 1 1 1 FALSE
g396 11 11 0 0 1 1 1 FALSE
g397 3257 3257 0 0 1 1 1 FALSE
g398 1376 1376 0 0 1 1 1 FALSE
g399 1 1 0 0 1 1 1 FALSE
g401 845 845 0 0 1 1 1 FALSE
g402 369 369 0 0 1 1 1 FALSE
g403 328 328 0 0 1 1 1 FALSE
g404 1092 1092 0 0 1 1 1 FALSE
g405 3 3 0 0 1 1 1 FALSE
g406 82 82 0 0 1 1 1 FALSE
g408 84 84 0 0 1 1 1 FALSE
g409 20 20 0 0 1 1 1 FALSE
g411 287 287 0 0 1 1 1 FALSE
g412 2 2 0 0 1 1 1 FALSE
g414 12 12 0 0 1 1 1 FALSE
g415 55 55 0 0 1 1 1 FALSE
g416 69 69 0 0 1 1 1 FALSE
g417 75 75 0 0 1 1 1 FALSE
g418 488 488 0 0 1 1 1 FALSE
g419 2 2 0 0 1 1 1 FALSE
g420 271 271 0 0 1 1 1 FALSE
g421 3339 3339 0 0 1 1 1 FALSE
g422 211 211 0 0 1 1 1 FALSE
g423 402 402 0 0 1 1 1 FALSE
g424 1150 1150 0 0 1 1 1 FALSE
g425 459 459 0 0 1 1 1 FALSE
g426 1807 1807 0 0 1 1 1 FALSE
g427 382 382 0 0 1 1 1 FALSE
g428 1348 1348 0 0 1 1 1 FALSE
g429 1 1 0 0 1 1 1 FALSE
g430 529 529 0 0 1 1 1 FALSE
g432 16 16 0 0 1 1 1 FALSE
g433 141 141 0 0 1 1 1 FALSE
g434 64 64 0 0 1 1 1 FALSE
g435 1316 1316 0 0 1 1 1 FALSE
g436 760 760 0 0 1 1 1 FALSE
g437 5 5 0 0 1 1 1 FALSE
g438 195 195 0 0 1 1 1 FALSE
g439 12441 12441 0 0 1 1 1 FALSE
g440 99 99 0 0 1 1 1 FALSE
g441 9 9 0 0 1 1 1 FALSE
g442 1 1 0 0 1 1 1 FALSE
g443 55 55 0 0 1 1 1 FALSE
g444 2413 2413 0 0 1 1 1 FALSE
