"GeneNames"	"value1"	"value2"	"log2(Fold_change)"	"log2(Fold_change) normalized"	"p-value"	"q-value(Benjamini et al. 1995)"	"q-value(Storey et al. 2003)"	"Signature(q-value(Benjamini et al. 1995) < 0.05)"
g2472	54	530	-3.29496104728709	-3.29496104728709	0	0	0	TRUE
g2475	8221	13600	-0.726220852785358	-0.726220852785358	0	0	0	TRUE
g2476	76121	169503	-1.15494438805723	-1.15494438805723	0	0	0	TRUE
g2477	22	131	-2.57399138290015	-2.57399138290015	0	0	0	TRUE
g2478	360	122	1.56111575876679	1.56111575876679	0	0	0	TRUE
g2479	100	666	-2.73552217729654	-2.73552217729654	0	0	0	TRUE
g2480	4382	9551	-1.12406230845506	-1.12406230845506	0	0	0	TRUE
g2482	42614	31649	0.429167561539311	0.429167561539311	0	0	0	TRUE
g2486	47951	25157	0.93060101291797	0.93060101291797	0	0	0	TRUE
g2488	19613	16717	0.230494259285331	0.230494259285331	0	0	0	TRUE
g2492	261	2	7.02790599656988	7.02790599656988	0	0	0	TRUE
g2494	6259	10045	-0.682473482676775	-0.682473482676775	0	0	0	TRUE
g2495	14976	17450	-0.220574696400972	-0.220574696400972	0	0	0	TRUE
g2496	5323	4040	0.397884273286328	0.397884273286328	0	0	0	TRUE
g2499	67758	41805	0.696715788380533	0.696715788380533	0	0	0	TRUE
g2500	11462	14864	-0.374963605466847	-0.374963605466847	0	0	0	TRUE
g2501	290083	388062	-0.419821417306014	-0.419821417306014	0	0	0	TRUE
g2506	191	8	4.57742882803575	4.57742882803575	0	0	0	TRUE
g2508	11765	13429	-0.190850556894492	-0.190850556894492	0	0	0	TRUE
g2510	1440	565	1.34974603902712	1.34974603902712	0	0	0	TRUE
g2511	2216	2815	-0.345177040918403	-0.345177040918403	0	0	0	TRUE
g2512	91135	83311	0.129498226233377	0.129498226233377	0	0	0	TRUE
g2513	7764	11147	-0.521783465682645	-0.521783465682645	0	0	0	TRUE
g2514	31399	27604	0.185841274591787	0.185841274591787	0	0	0	TRUE
g2517	2746	3650	-0.410564838507641	-0.410564838507641	0	0	0	TRUE
g2518	281	729	-1.37534868410601	-1.37534868410601	0	0	0	TRUE
g2519	38736	52248	-0.431700828910426	-0.431700828910426	0	0	0	TRUE
g2522	2464	4672	-0.923038018185116	-0.923038018185116	0	0	0	TRUE
g2523	2443	3205	-0.391670493238847	-0.391670493238847	0	0	0	TRUE
g2524	2305	3397	-0.5594944675625	-0.5594944675625	0	0	0	TRUE
g2525	1698	3302	-0.95950366136022	-0.95950366136022	0	0	0	TRUE
g2526	20845	9984	1.0620115328335	1.0620115328335	0	0	0	TRUE
g2527	7981	19437	-1.28416413455364	-1.28416413455364	0	0	0	TRUE
g2529	9027	16612	-0.879907264370301	-0.879907264370301	0	0	0	TRUE
g2532	42974	73456	-0.773416268415403	-0.773416268415403	0	0	0	TRUE
g2536	8333	9617	-0.206750938833087	-0.206750938833087	0	0	0	TRUE
g2537	4442	3383	0.392906215752992	0.392906215752992	0	0	0	TRUE
g2539	523	195	1.42333682249733	1.42333682249733	0	0	0	TRUE
g2542	65	733	-3.49530157510536	-3.49530157510536	0	0	0	TRUE
g2543	1224	498	1.29738591062457	1.29738591062457	0	0	0	TRUE
g2544	1263	2611	-1.04774781852529	-1.04774781852529	0	0	0	TRUE
g2553	12675	14764	-0.220097895467545	-0.220097895467545	0	0	0	TRUE
g2554	45	727	-4.01395845758992	-4.01395845758992	0	0	0	TRUE
g2555	2880	7854	-1.44735878633672	-1.44735878633672	0	0	0	TRUE
g2558	767	2937	-1.93704478282192	-1.93704478282192	0	0	0	TRUE
g2560	760	1642	-1.11138280344686	-1.11138280344686	0	0	0	TRUE
g2562	21544	24307	-0.174085710195559	-0.174085710195559	0	0	0	TRUE
g2564	76003	88838	-0.225120548096982	-0.225120548096982	0	0	0	TRUE
g2565	199	634	-1.67171440959576	-1.67171440959576	0	0	0	TRUE
g2567	812	2928	-1.85036392109887	-1.85036392109887	0	0	0	TRUE
g2568	3194	1806	0.822566419930375	0.822566419930375	0	0	0	TRUE
g2572	1684	2359	-0.486283280173067	-0.486283280173067	0	0	0	TRUE
g2573	5591	4581	0.287443782111254	0.287443782111254	0	0	0	TRUE
g2574	6305	11416	-0.85648896426018	-0.85648896426018	0	0	0	TRUE
g2576	1015	1587	-0.644822400762644	-0.644822400762644	0	0	0	TRUE
g2578	203	455	-1.16438681790088	-1.16438681790088	0	0	0	TRUE
g2581	150248	322311	-1.10110763941451	-1.10110763941451	0	0	0	TRUE
g2582	3543	780	2.1834254363687	2.1834254363687	0	0	0	TRUE
g2585	9518	3443	1.46699227359058	1.46699227359058	0	0	0	TRUE
g2586	2043	3564	-0.802808132788694	-0.802808132788694	0	0	0	TRUE
g2587	1890	3860	-1.03021461304701	-1.03021461304701	0	0	0	TRUE
g2589	7313	8891	-0.281882330809381	-0.281882330809381	0	0	0	TRUE
g2590	734	1669	-1.18513198651939	-1.18513198651939	0	0	0	TRUE
g2591	9800	6025	0.701820507885246	0.701820507885246	0	0	0	TRUE
g2592	8990	15474	-0.783453158108561	-0.783453158108561	0	0	0	TRUE
g2593	392	30	3.70781924850669	3.70781924850669	0	0	0	TRUE
g2595	1494	2090	-0.484322794179008	-0.484322794179008	0	0	0	TRUE
g2596	13698	11080	0.306007384009307	0.306007384009307	0	0	0	TRUE
g2599	19959	13007	0.617751189581913	0.617751189581913	0	0	0	TRUE
g2601	3713	7613	-1.03587976300949	-1.03587976300949	0	0	0	TRUE
g2603	12677	16418	-0.373065018832781	-0.373065018832781	0	0	0	TRUE
