"","GeneNames","value1","value2","log2.Fold_change.","log2.Fold_change..normalized","p.value","q.value.Benjamini.et.al..1995.","q.value.Storey.et.al..2003.","Signature.q.value.Benjamini.et.al..1995....0.05."
"2308","g4118",1173,2156,-0.878154164723997,-0.878154164723997,0,0,0,TRUE
"2309","g4120",2060,2892,-0.489423214880537,-0.489423214880537,0,0,0,TRUE
"2310","g4121",3115,574,2.44010952123568,2.44010952123568,0,0,0,TRUE
"2311","g4123",1248,822,0.602407635180565,0.602407635180565,0,0,0,TRUE
"2312","g4124",498,3724,-2.90263542549071,-2.90263542549071,0,0,0,TRUE
"2313","g4125",14658,24851,-0.761615637318965,-0.761615637318965,0,0,0,TRUE
"2314","g4136",1391,2512,-0.852714044349387,-0.852714044349387,0,0,0,TRUE
"2315","g4137",6625,9739,-0.555853189499421,-0.555853189499421,0,0,0,TRUE
"2316","g4138",4043,5262,-0.380185044894196,-0.380185044894196,0,0,0,TRUE
"2317","g4140",23,205,-3.15591814344843,-3.15591814344843,0,0,0,TRUE
"2318","g4142",36827,30220,0.285260216740202,0.285260216740202,0,0,0,TRUE
"2319","g4143",13687,22850,-0.739387902720845,-0.739387902720845,0,0,0,TRUE
"2320","g4144",6437,8574,-0.413579948307262,-0.413579948307262,0,0,0,TRUE
"2321","g4147",4325,3482,0.312783929760348,0.312783929760348,0,0,0,TRUE
"2322","g4148",53208,76392,-0.521778386768615,-0.521778386768615,0,0,0,TRUE
"2323","g4151",2018,5212,-1.36891090946178,-1.36891090946178,0,0,0,TRUE
"2324","g4152",294,1045,-1.82961488213188,-1.82961488213188,0,0,0,TRUE
"2325","g4154",202,484,-1.2606517545228,-1.2606517545228,0,0,0,TRUE
"2326","g4155",2,115,-5.84549005094437,-5.84549005094437,0,0,0,TRUE
"2327","g4156",10756,13608,-0.339313385790513,-0.339313385790513,0,0,0,TRUE
"2328","g4161",58995,76723,-0.379066446290768,-0.379066446290768,0,0,0,TRUE
"2329","g4164",45229,30528,0.567115022299255,0.567115022299255,0,0,0,TRUE
"2330","g4170",95,290,-1.61005348168399,-1.61005348168399,0,0,0,TRUE
"2331","g4171",134691,123897,0.120512198729489,0.120512198729489,0,0,0,TRUE
"2332","g4172",21125,31066,-0.556385153310343,-0.556385153310343,0,0,0,TRUE
"2333","g4174",2395,3361,-0.488864886684459,-0.488864886684459,0,0,0,TRUE
"2334","g4175",14,759,-5.76060115335786,-5.76060115335786,0,0,0,TRUE
"2335","g4177",2826,3974,-0.49183040691573,-0.49183040691573,0,0,0,TRUE
"2336","g4178",6409,9284,-0.534647252825478,-0.534647252825478,0,0,0,TRUE
"2337","g4179",877,15649,-4.15734981633064,-4.15734981633064,0,0,0,TRUE
