"","X1_mean","X2_mean","M","D","prob","ranking"
"g437",56067.5804964121,295366.998890339,-2.39726992484253,239299.418393927,0.903334871913224,-239299.418405935
"g7605",32889.2747241234,4978.13840587949,2.72393894728138,27911.1363182439,0.903184860373875,27911.1364511629
"g526",795156.120108366,4152112.16634937,-2.38453536706696,3356956.046241,0.902677129009924,-3356956.04624185
"g596",6636.81139119314,40420.9941385128,-2.60654262410291,33784.1827473196,0.902288637587507,-33784.1828478706
"g489",61415.7724169802,318595.128294639,-2.37504309421175,257179.355877659,0.902054004154166,-257179.355888625
"g8",4395.41363550624,29398.9965400741,-2.74169606981575,25003.5829045678,0.901061620124625,-25003.5830548842
"g333",13308.3649739963,72412.671624676,-2.44390884229113,59104.3066506797,0.900803907992923,-59104.3067012064
"g1481",124.229654847841,8281.29987642182,-6.05877573314398,8157.07022157398,0.899707669820755,-8157.07247169304
"g1014",148130.177088144,28954.9462122908,2.35498385454168,119175.230875853,0.899103777213632,119175.230899121
"g1",37892.1503159618,189896.92899282,-2.32524565665148,152004.778676859,0.898407569813063,-152004.778694643
"g9459",46063.9349001054,8207.76896192869,2.48857562849413,37856.1659381767,0.898211400876991,37856.1660199733
"g1136",79421.7028141211,15344.0874555288,2.37185044449703,64077.6153585923,0.896988229863836,64077.6154024896
"g856",98868.907766234,19531.5297938717,2.3397119426886,79337.3779723622,0.896653588737595,79337.3780068621
"g808",35261.218896769,6035.26467008602,2.54659340073811,29225.954226683,0.896134318024463,29225.9543376313
"g415",32812.4207851073,162132.801616542,-2.3048620568634,129320.380831434,0.895918916839757,-129320.380851974
"g594",13219.9303044436,68112.5455472397,-2.36520597957211,54892.6152427962,0.895518886068159,-54892.615293752
"g290",6282.01991929719,36130.4175304912,-2.52391350427667,29848.397611194,0.89498422955612,-29848.3977179022
"g598",65345.8512436496,314099.238094201,-2.26505289499529,248753.386850552,0.894649588429879,-248753.386860864
"g396",346512.302355924,1659990.95298469,-2.26019689992325,1313478.65062876,0.894484191091622,-1313478.65063071
"g8959",1463.38322236016,14359.537158874,-3.29462971978444,12896.1539365138,0.892910993153319,-12896.1543573596
"g1023",63307.6426691969,12535.5885006676,2.33634994910936,50772.0541685293,0.89287252865605,50772.0542222846
"g281",165141.217452817,771069.997995508,-2.22316158823453,605928.780542692,0.891572428648358,-605928.78054677
"g510",110249.607502718,513811.111751443,-2.22046457081815,403561.504248725,0.891457035156551,-403561.504254833
"g1221",37273.1076290929,6864.15861528137,2.44098031237536,30408.9490138116,0.890791599353796,30408.9491117825
"g801",182061.717560567,39201.5268942565,2.21544584283822,142860.19066631,0.890499269174552,142860.190683488
"g222",26408.2767983326,123870.942512691,-2.2297757311361,97462.6657143584,0.889941533964151,-97462.6657398651
"g1200",546308.329542863,119378.872100019,2.19416789164092,426929.457442843,0.889087622124779,426929.457448482
"g151",6567.32700797316,35486.7832919409,-2.43390360839629,28919.4562839677,0.888987614431879,-28919.4563863882
"g53",80436.5959266068,367686.085714751,-2.19255064864475,287249.489788145,0.888902992537888,-287249.489796512
"g374",153468.893865545,694951.17729099,-2.17896535727121,541482.283425445,0.88845295791984,-541482.283429829
"g7324",20511.5793678008,3116.94681695582,2.71823313770075,17394.6325508449,0.88687591353181,17394.632763232
"g1210",218396.78601619,48373.7922670692,2.17465407782345,170022.993749121,0.886845141933995,170022.993763028
"g12212",19171.3730066033,2803.72422015388,2.77353730786904,16367.6487864494,0.886452804061851,16367.6490214407
"g1127",37759.4983116328,7308.2089430646,2.36924980999244,30451.2893685682,0.886306638972229,30451.2894607374
"g838",26365.1122572414,4575.15079657945,2.52673893903217,21789.961460662,0.886260481575506,21789.9616071608
"g571",12170.2950003478,58112.3411761732,-2.25548043929262,45942.0461758253,0.886014308792984,-45942.0462311907
"g438",141872.371423605,631119.658882357,-2.15331990015733,489247.287458752,0.88599507654435,-489247.287463491
"g63",178312.719247743,786823.757688927,-2.14163090391684,608511.038441184,0.885260404646511,-608511.038444953
"g5020",143.179941180563,7244.22749798616,-5.66093055619585,7101.04755680559,0.884291099315332,-7101.04981324237
"g174",58955.3935747818,258209.058450827,-2.1308439036356,199253.664876045,0.8838718362951,-199253.664887439
"g235",10321.5892892223,49379.3513964364,-2.25824275665604,39057.762107214,0.883744903454112,-39057.7621724976
"g839",190213.499064692,43446.2660490876,2.13031553863017,146767.233015605,0.883464112624048,146767.233031065
"g1174",79621.7336142998,17619.7260170502,2.17597079292172,62002.0075972496,0.88343718747596,62002.0076354327
"g933",47825.2587353634,9956.27681175899,2.26409452673229,37868.9819236044,0.883302561735518,37868.9819912868
"g190",51947.9988064155,225896.51879233,-2.12052195971425,173948.519985915,0.882794830371567,-173948.51999884
"g754",120071.119791494,27501.5169673745,2.12630608316538,92569.6028241194,0.882040926225094,92569.6028485398
"g943",39730.3280902358,8240.23715793864,2.26948294258163,31490.0909322972,0.880356181244711,31490.0910140777
"g973",27683.2099510507,5246.47849643237,2.39958994014025,22436.7314546183,0.879656127394415,22436.7315829354
"g11407",55678.0468329061,12313.0858633052,2.17691623240428,43364.9609696009,0.879452265558889,43364.9610242414
"g11740",17525.856476712,76899.9673026403,-2.13349803527656,59374.1108259283,0.879052234787291,-59374.11086426
"g334",110751.790090536,466096.232873988,-2.07329783527038,355344.442783452,0.878932994845757,-355344.442789501
"g6779",6007.24076747272,30497.1855227638,-2.34390171490749,24489.944755291,0.878752211708593,-24489.944867457
"g11174",2374.04976001595,16241.73758051,-2.77428390454031,13867.687820494,0.878082929456112,-13867.6880979971
"g645",29830.9090687591,125586.02721957,-2.07379610977666,95755.1181508108,0.876809754596507,-95755.1181732672
"g534",176.869339105401,6945.32910530626,-5.29528717933501,6768.45976620086,0.876486652819448,-6768.46183757773
"g386",131825.561286207,541634.445838093,-2.03868935217736,409808.884551886,0.87630971613201,-409808.884556957
"g426",92621.6300385468,378328.969377427,-2.03022019833386,285707.33933888,0.875213477959843,-285707.339346093
"g1284",9264616.01314108,2281097.0382388,2.02200336224647,6983518.97490228,0.874748057542888,6983518.97490258
"g568",5013.40352869,25697.622194939,-2.3577726064094,20684.218666249,0.87444803446419,-20684.2188006291
"g657",200642.4733098,49330.6491024214,2.02407086155614,151311.824207379,0.873636433571813,151311.824220916
"g1208",205187.383648598,51105.8954666129,2.00538039463432,154081.488181985,0.872732517885991,154081.488195035
"g1198",60535.6368961938,14195.2862849412,2.09237275165951,46340.3506112525,0.872717132087084,46340.3506584902
"g411",40468.3364635268,162859.516239,-2.00876257172364,122391.179775473,0.872259404569582,-122391.179791958
"g364",18909.2273790006,77752.7349213724,-2.03980300561925,58843.5075423717,0.870974690360797,-58843.5075777265
"g585",3441.58255675926,19167.6950091719,-2.47753283479386,15726.1124524127,0.870551580890838,-15726.1126475712
"g149",12133.4472213675,51584.323884289,-2.08794321598849,39450.8766629215,0.870482344795753,-39450.8767181738
"g627",94120.8082462021,368221.810948916,-1.96798947001149,274101.002702714,0.869328409877683,-274101.002709778
"g573",14681.2079394334,60870.2279431365,-2.05176609331308,46189.0200037031,0.869274559581506,-46189.0200492739
"g924",28205.3956188857,5977.96785359786,2.2382441287513,22227.4277652878,0.86884760366182,22227.4278779805
"g254",32857.6909135688,129681.794651532,-1.98067295836483,96824.103737963,0.868386029694592,-96824.1037582217
"g207",14153.7583031727,58037.8553147386,-2.03580901974978,43884.0970115659,0.867728286791292,-43884.0970587871
"g213",413.74791826442,7530.71158042695,-4.18596223400116,7116.96366216253,0.867539810754673,-7116.96489318457
"g61",27808.4923995837,109330.920381879,-1.97510403583079,81522.4279822957,0.86753211785522,-81522.4280062219
"g651",33228.274290742,7475.32465782173,2.15220322576656,25752.9496329203,0.866520501577044,25752.9497228514
"g69",20655.8121026665,81062.581020505,-1.97248832909071,60406.7689178385,0.864524194168782,-60406.7689500428
"g12086",42691.8367265662,162635.103707755,-1.92960654921784,119943.266981188,0.86410493114855,-119943.26699671
"g108",8147.57032938511,34935.7789067131,-2.10026350067731,26788.208577328,0.863401030848527,-26788.208659661
"g229",31512.2205839456,120057.839375404,-1.92974628380075,88545.6187914585,0.863001000076929,-88545.6188124868
"g623",244667.146841768,904838.965556529,-1.88684066446878,660171.818714761,0.861423955688899,-660171.818717458
"g12835",16391.9976778041,2984.20919209158,2.45757110837764,13407.7884857125,0.861154704208016,13407.7887109419
"g131",1158.07305366632,9947.68228928576,-3.10263416684561,8789.60923561945,0.860866220478498,-8789.60978321708
"g517",10058.3908679345,40952.8995849112,-2.0255660799203,30894.5087169767,0.860846988229864,-30894.5087833787
"g209",64187.7781899833,237885.877642477,-1.88989909792201,173698.099452494,0.860712362489422,-173698.099462776
"g11360",455485.923912239,123575.863907777,1.88200947819355,331910.060004462,0.860208477575198,331910.060009798
"g589",8841.36136789974,36689.0614912507,-2.05300956686982,27847.700123351,0.860154627279021,-27847.7001990278
"g407",6413.61912994109,28110.773116032,-2.13191254435705,21697.1539860909,0.859816139703054,-21697.1540908293
"g1106",61269.4340947442,15888.4072121663,1.94719302212996,45381.0268825778,0.85931225478883,45381.0269243526
"g179",4158.53505634722,20140.7859425291,-2.27597268285219,15982.2508861819,0.858646818986076,-15982.2510482383
