"","GeneNames","value1","value2","log2.Fold_change.","log2.Fold_change..normalized","p.value","q.value.Benjamini.et.al..1995.","q.value.Storey.et.al..2003.","Signature.q.value.Benjamini.et.al..1995....0.05."
"1125","g1877",753,1522,-1.01524658883162,-1.01524658883162,0,0,0,TRUE
"1126","g1883",534,1378,-1.36766424101674,-1.36766424101674,0,0,0,TRUE
"1127","g1885",7577,18479,-1.28618803372446,-1.28618803372446,0,0,0,TRUE
"1128","g1886",49243,55920,-0.183445703820277,-0.183445703820277,0,0,0,TRUE
"1129","g1887",4742,5767,-0.282325359575111,-0.282325359575111,0,0,0,TRUE
"1130","g1888",29339,44476,-0.600207344901621,-0.600207344901621,0,0,0,TRUE
"1131","g1891",813,1278,-0.652560578871968,-0.652560578871968,0,0,0,TRUE
"1132","g1892",1107,4749,-2.10096853407678,-2.10096853407678,0,0,0,TRUE
"1133","g1894",15263,17379,-0.18730651366818,-0.18730651366818,0,0,0,TRUE
"1134","g1895",139,392,-1.4957687713917,-1.4957687713917,0,0,0,TRUE
"1135","g1896",498,1466,-1.55766745606573,-1.55766745606573,0,0,0,TRUE
"1136","g1897",10137,14164,-0.482597992505958,-0.482597992505958,0,0,0,TRUE
"1137","g1899",9702,7561,0.359705125029112,0.359705125029112,0,0,0,TRUE
"1138","g1900",10573,18853,-0.834409324447995,-0.834409324447995,0,0,0,TRUE
"1139","g1901",90,304,-1.75607441711391,-1.75607441711391,0,0,0,TRUE
"1140","g1902",9227,18087,-0.971019573411871,-0.971019573411871,0,0,0,TRUE
"1141","g1903",556,149,1.89977255226135,1.89977255226135,0,0,0,TRUE
"1142","g1904",3575,2380,0.586981668357808,0.586981668357808,0,0,0,TRUE
"1143","g1905",2489,3726,-0.582061443960603,-0.582061443960603,0,0,0,TRUE
"1144","g1906",16752,52791,-1.65595864731399,-1.65595864731399,0,0,0,TRUE
"1145","g1907",1963,2949,-0.587165649595565,-0.587165649595565,0,0,0,TRUE
"1146","g1908",690,1416,-1.03715299841746,-1.03715299841746,0,0,0,TRUE
"1147","g1911",1,62,-5.95419631038687,-5.95419631038687,0,0,0,TRUE
"1148","g1913",405,720,-0.830074998557686,-0.830074998557686,0,0,0,TRUE
"1149","g1914",11930,23360,-0.969446231184788,-0.969446231184788,0,0,0,TRUE
"1150","g1917",18953,30002,-0.662632451871906,-0.662632451871906,0,0,0,TRUE
"1151","g1918",4623,6894,-0.576511936131327,-0.576511936131327,0,0,0,TRUE
"1152","g1919",76,340,-2.16146342269412,-2.16146342269412,0,0,0,TRUE
"1153","g1920",124,293,-1.24056054403537,-1.24056054403537,0,0,0,TRUE
"1154","g1922",2908,5462,-0.909402044845692,-0.909402044845692,0,0,0,TRUE
"1155","g1923",1,193,-7.59245703726808,-7.59245703726808,0,0,0,TRUE
"1156","g1924",1266,3521,-1.47570782243479,-1.47570782243479,0,0,0,TRUE
"1157","g1925",11461,26047,-1.18438428941173,-1.18438428941173,0,0,0,TRUE
"1158","g1926",746,1289,-0.789004728106415,-0.789004728106415,0,0,0,TRUE
"1159","g1927",30,193,-2.68556644165956,-2.68556644165956,0,0,0,TRUE
"1160","g1928",3402,5116,-0.588633123218251,-0.588633123218251,0,0,0,TRUE
"1161","g1929",6942,17659,-1.34698037758324,-1.34698037758324,0,0,0,TRUE
"1162","g1930",2221,4663,-1.07004903679291,-1.07004903679291,0,0,0,TRUE
"1163","g1931",366,2178,-2.57308840043286,-2.57308840043286,0,0,0,TRUE
"1164","g1933",8249,12483,-0.59767355247071,-0.59767355247071,0,0,0,TRUE
"1165","g1935",74561,165642,-1.15157541293504,-1.15157541293504,0,0,0,TRUE
"1166","g1936",3051,8038,-1.39755439748009,-1.39755439748009,0,0,0,TRUE
"1167","g1937",5099,7984,-0.646897382708701,-0.646897382708701,0,0,0,TRUE
"1168","g1938",15900,18112,-0.187919097772802,-0.187919097772802,0,0,0,TRUE
"1169","g1939",8555,7005,0.288382804058594,0.288382804058594,0,0,0,TRUE
"1170","g1940",1551,1013,0.614564512234953,0.614564512234953,0,0,0,TRUE
"1171","g1941",4130,6223,-0.591468464580567,-0.591468464580567,0,0,0,TRUE
"1172","g1942",6719,9170,-0.448675203553634,-0.448675203553634,0,0,0,TRUE
"1173","g1944",1933,2892,-0.581225914739882,-0.581225914739882,0,0,0,TRUE
"1174","g1947",200,449,-1.16671544496642,-1.16671544496642,0,0,0,TRUE
"1175","g1948",995,2101,-1.07830773124203,-1.07830773124203,0,0,0,TRUE
"1176","g1950",4462,9737,-1.1257868283557,-1.1257868283557,0,0,0,TRUE
"1177","g1952",25042,15043,0.735257478966249,0.735257478966249,0,0,0,TRUE
"1178","g1954",4213,11394,-1.4353544903084,-1.4353544903084,0,0,0,TRUE
"1179","g1957",4533,2553,0.828272623478867,0.828272623478867,0,0,0,TRUE
"1180","g1958",1580,643,1.29703391573652,1.29703391573652,0,0,0,TRUE
"1181","g1959",500,995,-0.992768430768924,-0.992768430768924,0,0,0,TRUE
"1182","g1960",4701,8103,-0.785488460036387,-0.785488460036387,0,0,0,TRUE
"1183","g1961",4189,7457,-0.831989457319715,-0.831989457319715,0,0,0,TRUE
"1184","g1962",365,766,-1.06944792815758,-1.06944792815758,0,0,0,TRUE
"1185","g1963",2983,4882,-0.71070831744594,-0.71070831744594,0,0,0,TRUE
"1186","g1964",4901,8028,-0.711964469952861,-0.711964469952861,0,0,0,TRUE
"1187","g1966",25938,34425,-0.408389412292628,-0.408389412292628,0,0,0,TRUE
"1188","g1967",322,7,5.52356195605701,5.52356195605701,0,0,0,TRUE
"1189","g1971",12062,25177,-1.06163724667916,-1.06163724667916,0,0,0,TRUE
"1190","g1973",6764,13571,-1.00457846701532,-1.00457846701532,0,0,0,TRUE
"1191","g1975",24592,41878,-0.768003473870939,-0.768003473870939,0,0,0,TRUE
"1192","g1977",24129,81479,-1.75566014819502,-1.75566014819502,0,0,0,TRUE
"1193","g1979",11058,30290,-1.45375110133086,-1.45375110133086,0,0,0,TRUE
"1194","g1985",648,2467,-1.9286919974155,-1.9286919974155,0,0,0,TRUE
"1195","g1987",103,539,-2.38764093556929,-2.38764093556929,0,0,0,TRUE
"1196","g1988",18406,15228,0.273449658618388,0.273449658618388,0,0,0,TRUE
"1197","g1990",52537,65707,-0.322713252993591,-0.322713252993591,0,0,0,TRUE
"1198","g1992",736,4512,-2.61598939634178,-2.61598939634178,0,0,0,TRUE
"1199","g1994",5193,10507,-1.0167106735905,-1.0167106735905,0,0,0,TRUE
"1200","g1996",10452,16955,-0.697931754592773,-0.697931754592773,0,0,0,TRUE
"1201","g1997",696,105,2.72869797818261,2.72869797818261,0,0,0,TRUE
"1202","g1998",20,1137,-5.82908844400489,-5.82908844400489,0,0,0,TRUE
"1203","g2003",3,120,-5.32192809488736,-5.32192809488736,0,0,0,TRUE
"1204","g2004",612,3144,-2.36099765956595,-2.36099765956595,0,0,0,TRUE
"1205","g2006",3418,7639,-1.16023139445818,-1.16023139445818,0,0,0,TRUE
"1206","g2007",498,3965,-2.99310321852326,-2.99310321852326,0,0,0,TRUE
"1207","g2008",4003,6577,-0.716348054546888,-0.716348054546888,0,0,0,TRUE
"1208","g2012",899,1309,-0.542072076430793,-0.542072076430793,0,0,0,TRUE
"1209","g2013",17461,51603,-1.56331875564581,-1.56331875564581,0,0,0,TRUE
"1210","g2015",1829,2534,-0.470361449392094,-0.470361449392094,0,0,0,TRUE
"1211","g2016",945,3056,-1.69325830892731,-1.69325830892731,0,0,0,TRUE
"1212","g2020",2,762,-8.57364718749332,-8.57364718749332,0,0,0,TRUE
"1213","g2023",852,3804,-2.15859191063473,-2.15859191063473,0,0,0,TRUE
"1214","g2025",601,1535,-1.35280175954636,-1.35280175954636,0,0,0,TRUE
"1215","g2026",461,210,1.13437742276322,1.13437742276322,0,0,0,TRUE
"1216","g2028",270,1,8.07681559705083,8.07681559705083,0,0,0,TRUE
"1217","g2033",1370,9212,-2.74933851794496,-2.74933851794496,0,0,0,TRUE
"1218","g2036",1137,2583,-1.18381538922575,-1.18381538922575,0,0,0,TRUE
"1219","g2037",83,234,-1.49532528823648,-1.49532528823648,0,0,0,TRUE
"1220","g2038",5390,10294,-0.933446509566666,-0.933446509566666,0,0,0,TRUE
"1221","g2040",9697,17525,-0.853804055179394,-0.853804055179394,0,0,0,TRUE
"1222","g2041",12689,22306,-0.813853449857293,-0.813853449857293,0,0,0,TRUE
"1223","g2042",12770,9959,0.358685733806348,0.358685733806348,0,0,0,TRUE
"1224","g2044",467,967,-1.05009333976718,-1.05009333976718,0,0,0,TRUE
"1225","g2045",118194,186724,-0.659750571484427,-0.659750571484427,0,0,0,TRUE
"1226","g2048",1399,2185,-0.643237317223207,-0.643237317223207,0,0,0,TRUE
"1227","g2049",2230,13342,-2.58085933115988,-2.58085933115988,0,0,0,TRUE
"1228","g2053",478,1505,-1.65468096366632,-1.65468096366632,0,0,0,TRUE
"1229","g2056",2779,5211,-0.906994420230987,-0.906994420230987,0,0,0,TRUE
"1230","g2059",37914,91012,-1.26332610662589,-1.26332610662589,0,0,0,TRUE
"1231","g2060",2901,6294,-1.11742688310043,-1.11742688310043,0,0,0,TRUE
"1232","g2062",47429,41970,0.176410987520208,0.176410987520208,0,0,0,TRUE
"1233","g2063",94642,79402,0.253305214580418,0.253305214580418,0,0,0,TRUE
"1234","g2065",6469,16597,-1.35930787212551,-1.35930787212551,0,0,0,TRUE
"1235","g2066",7398,14387,-0.95955858481215,-0.95955858481215,0,0,0,TRUE
"1236","g2067",995,580,0.778643625416077,0.778643625416077,0,0,0,TRUE
"1237","g2068",1016,1498,-0.560137221686585,-0.560137221686585,0,0,0,TRUE
"1238","g2071",8,404,-5.6582114827518,-5.6582114827518,0,0,0,TRUE
"1239","g2072",352,809,-1.20056427379268,-1.20056427379268,0,0,0,TRUE
"1240","g2075",5742,11160,-0.958711791509369,-0.958711791509369,0,0,0,TRUE
"1241","g2076",1065,2224,-1.06230335761031,-1.06230335761031,0,0,0,TRUE
"1242","g2078",7245,11283,-0.63909311731717,-0.63909311731717,0,0,0,TRUE
"1243","g2080",142,0,NA,NA,0,0,0,TRUE
"1244","g2081",21585,31161,-0.529712439441409,-0.529712439441409,0,0,0,TRUE
"1245","g2082",7281,9368,-0.363604466628926,-0.363604466628926,0,0,0,TRUE
