"","X1_mean","X2_mean","M","D","prob","ranking"
"g9541",40920.3708788723,193968.305913463,-2.24492981176985,153047.93503459,0.892575209663769,-153047.935051055
"g467",13438.2133270105,65618.9773042231,-2.28777177125308,52180.7639772126,0.891617296299146,-52180.7640273642
"g310",186646.858766843,855599.10910518,-2.19662375174723,668952.250338337,0.890794029391398,-668952.250341944
"g88",9191.80917813376,46095.0548539826,-2.32619123141431,36903.2456758488,0.890647841809648,-36903.2457491644
"g920",134999.391918597,28893.9450628978,2.22411380668585,106105.446855699,0.890270831730399,106105.446879009
"g221",972.522964007312,10536.2321115055,-3.43748290657669,9563.70914749821,0.888897437870278,-9563.70976526523
"g139",2441.78718333732,16757.2969505017,-2.778780081465,14315.5097671643,0.888643533123028,-14315.5100368585
"g814",45854.2481574784,9487.21994285453,2.27299809943888,36367.0282146238,0.886058321151035,36367.0282856569
"g606",344296.18475989,1507434.32888688,-2.13037305352597,1163138.14412699,0.885373547741787,-1163138.14412895
"g613",1051.12126390014,10337.3809037118,-3.29786968599154,9286.25963981164,0.883253827806417,-9286.26022540501
"g873",757265.276102146,176348.359762001,2.10237061925987,580916.916340145,0.882892205893668,580916.91634395
"g575",52055.1300303569,224852.684322006,-2.11086785403503,172797.554291649,0.882872970685543,-172797.554304542
"g775",90653.183141729,20516.257221501,2.14359011453602,70136.9259202279,0.882699853812418,70136.9259529851
"g1201",71638.682431655,16057.9555047343,2.15745058278719,55580.7269269207,0.882680618604293,55580.726968793
"g200",241888.887863521,1029342.22985493,-2.08930632106699,787453.341991406,0.88193044548742,-787453.341994178
"g85",210079.631908226,890452.826598765,-2.08360289036517,680373.194690539,0.881153343079172,-680373.19469373
"g356",5861.33721734148,29161.961908185,-2.3147860353999,23300.6246908435,0.880333923213049,-23300.624805824
"g125",45810.2331095384,193856.87238639,-2.08125007145538,148046.639276852,0.880030006924675,-148046.639291481
"g300",119107.863657598,495502.627003231,-2.05662404119161,376394.763345633,0.879168269600677,-376394.763351252
"g651",11090.7441035446,1341.04486029009,3.04792675864893,9749.6992432545,0.878610448565053,9749.69971967213
"g457",5994.43033849334,29168.6863451635,-2.28272585043959,23174.2560066702,0.878025698238055,-23174.2561190975
"g1077",52540.3435350286,11955.0883139758,2.13580084607675,40585.2552210529,0.877948757405555,40585.2552772512
"g587",5560.56772308491,27123.4968698357,-2.28623909656499,21562.9291467508,0.876679233669308,-21562.9292679516
"g1065",12858.6818624674,1848.25953524222,2.79850349885519,11010.4223272252,0.876217588674309,11010.422682871
"g594",2017.35636391603,13514.1970591411,-2.74393793508072,11496.8406952251,0.87605601292606,-11496.8410226713
"g513",5364.59596201878,26152.2960433649,-2.28539619089867,20787.7000813461,0.875667461721936,-20787.7002069742
"g1030",9250.49590872041,952.948783243388,3.27906012607391,8297.54712547702,0.875051935061937,8297.54777339349
"g437",56135.9537607927,227721.137010277,-2.02027122393861,171585.183249484,0.874978841271063,-171585.183261378
"g9165",3037.03830785904,17228.0075389989,-2.50401884876736,14190.9692311399,0.874694160190813,-14190.9694520589
"g1247",21894.3424181474,4284.42698917894,2.35338394763955,17609.9154289684,0.874459490651689,17609.9155862212
"g346",252762.700659362,1006880.68907892,-1.99403724978802,754117.98841956,0.873143802415942,-754117.988422197
"g48",3416.40610200845,18332.7364711863,-2.4238707677909,14916.3303691779,0.872128183426945,-14916.3305661147
"g1198",169736.696539233,42840.4273563731,1.98625372779242,126896.26918286,0.871789643763946,126896.269198405
"g500",19748.0848424071,79908.4058836035,-2.0166345256143,60160.3210411964,0.871478033392321,-60160.3210749962
"g1151",46655.9508163853,11125.1006640541,2.06824271374272,35530.8501523312,0.870381626529199,35530.8502125271
"g946",135738.215937589,34505.0074045557,1.9759493087512,101233.208533034,0.870223897822574,101233.208552318
"g291",5727.19611885772,26501.0061323945,-2.21014622156121,20773.8100135368,0.869869969993075,-20773.8101311066
"g503",81930.8678082884,314322.278955228,-1.93976553204824,232391.41114694,0.867654074017081,-232391.411155035
"g581",19167.505400532,75535.6005798496,-1.97849417300495,56368.0951793176,0.867273216896207,-56368.0952140397
