"GeneNames"	"value1"	"value2"	"log2(Fold_change)"	"log2(Fold_change) normalized"	"p-value"	"q-value(Benjamini et al. 1995)"	"q-value(Storey et al. 2003)"	"Signature(q-value(Benjamini et al. 1995) < 0.05)"
g4543	720	740	-0.0395283641866389	-0.0395283641866389	0.600673585041706	0.621651316733804	0.0508492196148164	FALSE
g9075	86	93	-0.112894056405933	-0.112894056405933	0.600785484719107	0.621717438637721	0.0508546281889207	FALSE
g12161	94	87	0.11164535582891	0.11164535582891	0.60280516624462	0.623757643057757	0.0510215108123801	FALSE
g3679	3567	3611	-0.0176872044818275	-0.0176872044818275	0.603523217413137	0.624450756271982	0.0510782054016126	FALSE
g4030	44	49	-0.155278225477911	-0.155278225477911	0.604039105673548	0.624934602418507	0.0511177825701992	FALSE
g10015	426	411	0.0517150365441541	0.0517150365441541	0.604116626903443	0.624964876050455	0.0511202588628057	FALSE
g5885	88	95	-0.110423989693651	-0.110423989693651	0.604794595569255	0.62561626428803	0.0511735404736627	FALSE
g3460	28	32	-0.192645077942396	-0.192645077942396	0.605442856434832	0.62623682035392	0.0512243001050322	FALSE
g230	125	117	0.0954195650786822	0.0954195650786822	0.607037837900755	0.627836434854627	0.0513551437899983	FALSE
g11742	2615	2578	0.020558682772652	0.020558682772652	0.607639685009098	0.628408714332201	0.0514019545407405	FALSE
g7727	45	50	-0.15200309344505	-0.15200309344505	0.607875976987558	0.628602882854658	0.0514178369455146	FALSE
g8450	608	626	-0.0420913334890329	-0.0420913334890329	0.60835994143637	0.629053117342781	0.0514546647809079	FALSE
g8206	66	72	-0.125530882083859	-0.125530882083859	0.609466996701322	0.63012235897027	0.0515400681444924	FALSE
g12253	72	66	0.125530882083859	0.125530882083859	0.609466996701322	0.63012235897027	0.0515400681444924	FALSE
g7335	318	331	-0.0578044515228626	-0.0578044515228626	0.609833106132744	0.630425379134592	0.0515669116938357	FALSE
g7539	39793	39937	-0.0052112959181887	-0.0052112959181887	0.610066638876235	0.630616457012072	0.0515825412930884	FALSE
g8913	19	16	0.247927513443585	0.247927513443585	0.611871493231716	0.632406387912584	0.0517268880867076	FALSE
g11705	19	16	0.247927513443585	0.247927513443585	0.611871493231716	0.632406387912584	0.0517268880867076	FALSE
g11767	33407	33276	0.00566841004412311	0.00566841004412311	0.611945151522441	0.632406808093178	0.0517289866602262	FALSE
g7071	166	157	0.0804186824552975	0.0804186824552975	0.616507800284898	0.637071178877229	0.0521105182487207	FALSE
g503	7	9	-0.362570079384708	-0.362570079384708	0.61661414703442	0.637130232513823	0.0521153486596849	FALSE
g4613	69	75	-0.120294233717711	-0.120294233717711	0.617024111281588	0.637502971206044	0.0521458375706057	FALSE
g3758	237	248	-0.0654530614886157	-0.0654530614886157	0.617423182569838	0.637864396831225	0.0521754011064569	FALSE
g673	3560	3518	0.0171217583817995	0.0171217583817995	0.617621726555611	0.638018615100125	0.0521880156998999	FALSE
g4711	76	70	0.118644496498619	0.118644496498619	0.619447552108363	0.639828179445926	0.0523339455581293	FALSE
g11908	70	76	-0.118644496498619	-0.118644496498619	0.619447552108363	0.639828179445926	0.0523339455581293	FALSE
g7550	103	96	0.101538026462062	0.101538026462062	0.619705317607171	0.640017853338613	0.0523515474121552	FALSE
g9516	352	339	0.0542901555009525	0.0542901555009525	0.620912229351061	0.641213187407994	0.0524493221662189	FALSE
g10526	1003	981	0.0319965643929425	0.0319965643929425	0.621362932297828	0.641627459792431	0.0524832084090202	FALSE
g6890	104	97	0.100526875953964	0.100526875953964	0.621453185766684	0.641669490964643	0.0524866464332775	FALSE
g8924	2797	2834	-0.0189595044418258	-0.0189595044418258	0.621961568372142	0.642143212183628	0.0525253954130543	FALSE
g249	35	31	0.175086706558091	0.175086706558091	0.622353997907146	0.642497151857265	0.0525543466204446	FALSE
g7613	3668	3626	0.0166147138508954	0.0166147138508954	0.622877479891658	0.64298631842144	0.0525943589832924	FALSE
g8791	106	99	0.0985638344835893	0.0985638344835893	0.624877994508918	0.644974297922965	0.0527548673906512	FALSE
g9274	106	99	0.0985638344835893	0.0985638344835893	0.624877994508918	0.644974297922965	0.0527548673906512	FALSE
g716	55	50	0.137503523749936	0.137503523749936	0.625519867733429	0.645559633977359	0.0528048485042165	FALSE
g6576	36	32	0.169925001442312	0.169925001442312	0.627526471148671	0.647553113779457	0.0529657989183201	FALSE
g7283	32	36	-0.169925001442312	-0.169925001442312	0.627526471148671	0.647553113779457	0.0529657989183201	FALSE
g7226	16177	16090	0.00777976091442767	0.00777976091442767	0.628152597917509	0.648121754683431	0.0530144223198841	FALSE
g5907	6659	6715	-0.0120818594976466	-0.0120818594976466	0.628217655794867	0.648137240483072	0.0530156890120082	FALSE
g12911	133	141	-0.0842689168976039	-0.0842689168976039	0.628860009367628	0.648748277010339	0.0530656699735719	FALSE
g5830	784	765	0.0353939065351927	0.0353939065351927	0.629264530197168	0.649113881316976	0.0530955753130763	FALSE
g12840	20304	20401	-0.00687589651697174	-0.00687589651697174	0.630671554331376	0.65051347101484	0.053210057567037	FALSE
g8454	18	21	-0.222392421336449	-0.222392421336449	0.630785289518051	0.650578966172249	0.0532154148751504	FALSE
g1437	497	482	0.0442127053323258	0.0442127053323258	0.631645943480221	0.651414746202824	0.0532837791835341	FALSE
g8639	33	37	-0.165059246270497	-0.165059246270497	0.632492426927725	0.65223578027664	0.0533509373167302	FALSE
g8038	487	502	-0.0437655918684303	-0.0437655918684303	0.633375370358171	0.653094278695622	0.0534211599213812	FALSE
g12988	175	184	-0.0723508442246841	-0.0723508442246841	0.63476793127069	0.654478082002822	0.0535343508957706	FALSE
g35	10	8	0.321928094887362	0.321928094887362	0.637004118337908	0.656731417281738	0.0537186669864457	FALSE
g9867	22	19	0.211504105193712	0.211504105193712	0.639262122448299	0.658954428536614	0.0539005026625918	FALSE
g7313	108	115	-0.0906025487809066	-0.0906025487809066	0.639217478855295	0.658960862217487	0.0539005026625918	FALSE
g2705	79	85	-0.105610187960599	-0.105610187960599	0.639374472781462	0.659017782753894	0.0539056848482018	FALSE
g9036	399	386	0.0477878989542653	0.0477878989542653	0.642647386096601	0.662338531631595	0.0541773121807956	FALSE
g11466	330	342	-0.0515303006400814	-0.0515303006400814	0.643420025033301	0.663082072591218	0.0542381316088749	FALSE
g12271	6599	6546	0.0116338153691711	0.0116338153691711	0.643887364751131	0.663510891503712	0.0542732077141922	FALSE
g8076	40	36	0.15200309344505	0.15200309344505	0.646279055951303	0.665922483654469	0.0544704687439597	FALSE
g6617	57	62	-0.121306296222134	-0.121306296222134	0.646653079824172	0.666254863849394	0.0544976564504318	FALSE
g6268	20	23	-0.20163386116965	-0.20163386116965	0.647181204130307	0.666719429894394	0.0545334874585992	FALSE
g10984	23	20	0.20163386116965	0.20163386116965	0.647181204130307	0.666719429894394	0.0545334874585992	FALSE
g8653	84	90	-0.0995356735509141	-0.0995356735509141	0.649178365094632	0.668697090993914	0.0546974233311222	FALSE
g12842	630	614	0.0371131730171008	0.0371131730171008	0.650084621434573	0.669577336163026	0.0547694247549335	FALSE
g8578	41	37	0.148098638989134	0.148098638989134	0.650541422256498	0.669967904745449	0.054799193116582	FALSE
g9230	37	41	-0.148098638989134	-0.148098638989134	0.650541422256498	0.669967904745449	0.054799193116582	FALSE
g3303	59	64	-0.117356950638158	-0.117356950638158	0.652063831820272	0.671455679236047	0.054923067604005	FALSE
g7827	3	2	0.584962500721156	0.584962500721156	0.653629236017287	0.672933863848938	0.055037415414599	FALSE
g8070	3	2	0.584962500721156	0.584962500721156	0.653629236017287	0.672933863848938	0.055037415414599	FALSE
g8886	3	2	0.584962500721156	0.584962500721156	0.653629236017287	0.672933863848938	0.055037415414599	FALSE
g8904	3	2	0.584962500721156	0.584962500721156	0.653629236017287	0.672933863848938	0.055037415414599	FALSE
g12912	9	11	-0.289506617194985	-0.289506617194985	0.654450842450072	0.673645847685274	0.055102216836815	FALSE
g11902	60	65	-0.115477217419936	-0.115477217419936	0.654677772764502	0.673718782366521	0.0551081826757418	FALSE
g2230	24	21	0.192645077942395	0.192645077942395	0.654601078673554	0.673720164420626	0.055106105932024	FALSE
g3191	24	21	0.192645077942395	0.192645077942395	0.654601078673554	0.673720164420626	0.055106105932024	FALSE
